# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-18 11:59:08,100.000,10.000,10.000
'2025-11-18 11:59:09,100.000,10.000,10.000
'2025-11-18 11:59:10,100.000,10.000,10.000
'2025-11-18 11:59:11,100.000,10.000,10.000
'2025-11-18 11:59:12,100.000,10.000,10.000
'2025-11-18 11:59:13,100.000,10.000,10.000
'2025-11-18 11:59:14,100.000,10.000,10.000
'2025-11-18 11:59:15,100.000,10.000,10.000
'2025-11-18 11:59:16,100.000,10.000,10.000
'2025-11-18 11:59:17,100.000,10.000,10.000
