# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-24 17:01:22,16156.191,46.170,349.929
'2025-11-24 17:01:23,15189.366,43.509,349.106
'2025-11-24 17:01:24,13921.728,40.310,345.366
'2025-11-24 17:01:25,12433.209,36.700,338.782
'2025-11-24 17:01:26,10814.371,32.822,329.481
'2025-11-24 17:01:27,9158.574,28.833,317.647
'2025-11-24 17:01:28,7554.145,24.889,303.511
'2025-11-24 17:01:29,6077.326,21.150,287.350
'2025-11-24 17:01:30,4786.707,17.763,269.479
'2025-11-24 17:01:31,3719.677,14.864,250.248
'2025-11-24 17:01:32,2891.185,12.568,230.034
'2025-11-24 17:01:33,2294.859,10.968,209.233
'2025-11-24 17:01:34,1906.263,10.126,188.251
'2025-11-24 17:01:35,1687.836,10.077,167.499
'2025-11-24 17:01:36,1594.902,10.822,147.383
'2025-11-24 17:01:37,1582.005,12.331,128.296
'2025-11-24 17:01:38,1608.826,14.545,110.612
'2025-11-24 17:01:39,1645.000,17.375,94.678
'2025-11-24 17:01:40,1673.299,20.708,80.805
'2025-11-24 17:01:41,1690.842,24.412,69.264
'2025-11-24 17:01:42,1708.252,28.338,60.281
'2025-11-24 17:01:43,1746.913,32.331,54.032
'2025-11-24 17:01:44,1834.719,36.231,50.640
'2025-11-24 17:01:45,2000.892,39.882,50.170
'2025-11-24 17:01:46,2270.535,43.140,52.632
'2025-11-24 17:01:47,2659.642,45.873,57.978
'2025-11-24 17:01:48,3171.229,47.974,66.103
