# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-18 11:40:31,100.000,10.000,10.000
'2025-11-18 11:40:32,100.000,10.000,10.000
'2025-11-18 11:40:33,100.000,10.000,10.000
'2025-11-18 11:40:34,100.000,10.000,10.000
'2025-11-18 11:40:35,100.000,10.000,10.000
'2025-11-18 11:40:36,100.000,10.000,10.000
'2025-11-18 11:40:37,100.000,10.000,10.000
'2025-11-18 11:40:38,100.000,10.000,10.000
'2025-11-18 11:40:39,100.000,10.000,10.000
'2025-11-18 11:40:40,100.000,10.000,10.000
'2025-11-18 11:40:41,100.000,10.000,10.000
'2025-11-18 11:40:42,100.000,10.000,10.000
'2025-11-18 11:40:43,100.000,10.000,10.000
'2025-11-18 11:40:44,100.000,10.000,10.000
'2025-11-18 11:40:45,100.000,10.000,10.000
'2025-11-18 11:40:46,100.000,10.000,10.000
'2025-11-18 11:40:47,100.000,10.000,10.000
